Oz ,VH,WS,H,T,IBT,Dpg,IBH,Vi,doy
3.0,5710.0,1.8,28.0,4.4,820.8,-25.0,30.6,402.3,3.0
5.0,5700.0,1.3,37.0,7.2,179.8,-24.0,53.3,160.9,4.0
5.0,5760.0,1.3,51.0,12.2,442.0,25.0,59.4,96.6,5.0
6.0,5720.0,1.8,69.0,1.7,477.9,15.0,49.4,96.6,6.0
4.0,5790.0,2.7,19.0,7.2,801.9,-33.0,50.6,160.9,7.0
4.0,5790.0,1.3,25.0,12.8,168.9,-28.0,83.3,402.3,8.0
6.0,5700.0,1.3,73.0,5.0,634.9,23.0,45.6,193.1,9.0
7.0,5700.0,1.3,59.0,6.7,808.9,-2.0,32.8,193.1,10.0
4.0,5770.0,3.6,27.0,12.2,1524.0,-19.0,33.3,193.1,11.0
6.0,5720.0,1.3,44.0,10.6,33.8,9.0,78.3,241.4,12.0
5.0,5760.0,2.7,33.0,10.6,150.0,-44.0,82.8,64.4,13.0
4.0,5780.0,2.7,19.0,12.2,1524.0,-44.0,57.2,321.9,14.0
4.0,5830.0,1.3,19.0,14.4,380.7,-53.0,117.2,402.3,15.0
7.0,5870.0,0.9,19.0,16.1,1524.0,-67.0,85.6,321.9,16.0
5.0,5840.0,2.2,19.0,17.8,1524.0,-40.0,78.9,321.9,17.0
9.0,5780.0,1.8,59.0,19.4,194.8,1.0,87.2,241.4,18.0
4.0,5680.0,2.2,73.0,11.1,119.8,-68.0,98.9,16.1,19.0
3.0,5720.0,1.8,19.0,12.2,1524.0,-66.0,52.2,225.3,20.0
4.0,5760.0,1.3,19.0,12.2,1524.0,-58.0,43.9,402.3,21.0
4.0,5730.0,1.8,26.0,14.4,1524.0,-26.0,43.9,321.9,22.0
5.0,5700.0,2.2,59.0,20.6,927.8,18.0,46.7,241.4,23.0
6.0,5650.0,2.2,70.0,10.6,1109.8,23.0,30.6,225.3,24.0
9.0,5680.0,1.3,64.0,11.7,33.8,-10.0,67.2,80.5,25.0
6.0,5820.0,2.2,19.0,15.0,182.0,-52.0,101.1,112.7,27.0
6.0,5810.0,2.2,19.0,17.8,545.9,-15.0,83.3,241.4,29.0
11.0,5790.0,1.3,28.0,17.2,241.7,-15.0,86.7,193.1,30.0
10.0,5800.0,0.9,32.0,17.2,161.8,-38.0,117.8,64.4,31.0
7.0,5820.0,2.2,19.0,16.7,127.7,-29.0,117.2,193.1,32.0
12.0,5770.0,3.6,76.0,17.2,248.7,-7.0,87.8,9.7,33.0
9.0,5670.0,1.3,69.0,12.2,1112.8,62.0,35.0,48.3,34.0
2.0,5590.0,1.3,76.0,2.2,1524.0,70.0,0.6,160.9,35.0
3.0,5410.0,2.7,64.0,-0.6,1524.0,28.0,-16.7,321.9,36.0
3.0,5350.0,3.1,62.0,-1.1,408.7,18.0,25.0,96.6,37.0
2.0,5480.0,4.0,72.0,2.2,1524.0,0.0,2.8,563.3,38.0
3.0,5600.0,3.1,76.0,5.6,1157.9,-18.0,25.0,402.3,39.0
3.0,5490.0,4.9,72.0,2.8,1524.0,32.0,1.1,563.3,40.0
4.0,5560.0,4.5,72.0,5.0,1524.0,-1.0,-0.6,482.8,41.0
6.0,5700.0,1.3,32.0,7.8,1524.0,-30.0,25.0,482.8,42.0
8.0,5680.0,2.2,50.0,10.6,1524.0,-8.0,23.9,482.8,43.0
6.0,5700.0,1.8,86.0,12.8,730.9,21.0,49.4,321.9,44.0
4.0,5650.0,2.2,61.0,5.0,1524.0,51.0,-4.4,160.9,45.0
3.0,5610.0,2.2,62.0,5.0,1304.8,42.0,11.1,402.3,46.0
7.0,5730.0,2.2,66.0,9.4,353.9,27.0,46.7,321.9,47.0
11.0,5770.0,2.2,68.0,7.2,846.7,2.0,55.6,321.9,48.0
13.0,5770.0,1.3,82.0,12.8,134.7,26.0,63.3,64.4,49.0
6.0,5690.0,3.6,21.0,5.0,1524.0,-30.0,13.9,482.8,51.0
5.0,5700.0,1.3,19.0,7.2,1524.0,-53.0,18.9,482.8,52.0
4.0,5730.0,4.9,19.0,10.6,1524.0,-43.0,35.0,482.8,53.0
4.0,5690.0,3.1,19.0,11.7,1524.0,7.0,35.0,482.8,54.0
6.0,5640.0,2.2,68.0,10.0,1524.0,24.0,13.3,482.8,55.0
10.0,5720.0,2.7,63.0,15.6,408.7,19.0,66.1,241.4,56.0
15.0,5740.0,1.3,54.0,12.2,401.7,2.0,82.8,241.4,57.0
23.0,5740.0,1.3,47.0,11.7,269.7,-4.0,90.6,128.7,58.0
17.0,5740.0,1.3,56.0,11.7,109.7,3.0,90.6,64.4,59.0
7.0,5670.0,3.1,61.0,6.7,1065.9,73.0,36.1,64.4,60.0
2.0,5550.0,4.5,74.0,4.4,1524.0,73.0,7.2,128.7,61.0
3.0,5470.0,3.1,46.0,-1.1,1524.0,44.0,-26.1,482.8,62.0
3.0,5320.0,4.9,45.0,-3.9,1524.0,39.0,-31.7,321.9,63.0
4.0,5530.0,1.3,43.0,4.4,1524.0,-12.0,-12.8,225.3,65.0
6.0,5600.0,1.3,21.0,7.2,1524.0,-2.0,3.9,225.3,66.0
7.0,5660.0,3.1,57.0,10.6,1524.0,30.0,13.3,225.3,67.0
7.0,5580.0,2.2,42.0,8.9,1099.7,24.0,5.0,160.9,68.0
6.0,5510.0,2.2,50.0,7.2,1524.0,38.0,-15.0,225.3,69.0
3.0,5530.0,2.2,61.0,8.3,1524.0,56.0,-6.7,321.9,70.0
2.0,5620.0,4.0,61.0,6.1,1524.0,66.0,-10.6,193.1,71.0
8.0,5690.0,0.0,60.0,9.4,186.8,-27.0,67.8,482.8,72.0
12.0,5760.0,1.8,31.0,13.3,101.8,-9.0,82.2,482.8,73.0
12.0,5740.0,1.3,66.0,11.7,172.8,13.0,74.4,241.4,74.0
16.0,5780.0,2.2,53.0,16.1,148.7,-20.0,83.9,3.2,75.0
9.0,5790.0,0.9,42.0,17.2,161.8,-15.0,102.8,80.5,76.0
24.0,5760.0,1.3,60.0,21.1,154.8,7.0,88.9,112.7,77.0
13.0,5700.0,1.8,82.0,13.9,478.8,68.0,57.2,27.4,78.0
8.0,5680.0,1.8,57.0,1.7,219.8,28.0,54.4,225.3,79.0
10.0,5720.0,2.2,21.0,11.1,153.9,-49.0,91.1,225.3,80.0
8.0,5720.0,2.2,19.0,15.0,114.9,-27.0,109.4,482.8,81.0
9.0,5730.0,1.8,32.0,19.4,134.7,-9.0,117.2,321.9,82.0
10.0,5710.0,2.2,77.0,13.9,274.9,54.0,70.0,402.3,83.0
14.0,5720.0,1.8,71.0,5.6,420.9,4.0,57.2,96.6,85.0
9.0,5710.0,1.3,19.0,12.8,1524.0,-16.0,37.8,160.9,86.0
11.0,5600.0,2.7,45.0,4.4,1524.0,38.0,28.3,241.4,87.0
7.0,5630.0,1.8,44.0,3.9,396.8,40.0,46.1,241.4,88.0
9.0,5690.0,3.1,70.0,13.9,393.8,-5.0,48.9,321.9,89.0
12.0,5730.0,2.7,45.0,14.4,1524.0,-14.0,46.1,160.9,90.0
